Dynamic 2,Dynamic 4,Dynamic 8,Static 1,Static 2,Static 4
859.7496047,1100.479494,1341.209383,740.2659854,851.3058833,1073.385679
859.7496047,1100.479494,1341.209383,740.2659854,851.3058833,1073.385679
859.7496047,1100.479494,1341.209383,740.2659854,851.3058833,1073.385679
859.7496047,1100.479494,1341.209383,740.2659854,851.3058833,1073.385679
859.7496047,1100.479494,1341.209383,740.2659854,851.3058833,1073.385679
859.7496047,1100.479494,1341.209383,740.2659854,851.3058833,1073.385679
859.7496047,1100.479494,1341.209383,740.2659854,851.3058833,1073.385679
859.7496047,1100.479494,1341.209383,740.2659854,851.3058833,1073.385679
859.7496047,1100.479494,1341.209383,740.2659854,851.3058833,1073.385679
859.7496047,1100.479494,1341.209383,740.2659854,851.3058833,1073.385679
859.7496047,1100.479494,1341.209383,740.2659854,851.3058833,1073.385679
859.7496047,1100.479494,1341.209383,740.2659854,851.3058833,1073.385679
859.7496047,1100.479494,1341.209383,740.2659854,851.3058833,1073.385679
859.7496047,1100.479494,1341.209383,740.2659854,851.3058833,1073.385679
859.7496047,1100.479494,1341.209383,740.2659854,851.3058833,1073.385679
859.7496047,1100.479494,1341.209383,740.2659854,851.3058833,1073.385679
859.7496047,1100.479494,1341.209383,740.2659854,851.3058833,1073.385679
859.7496047,1100.479494,1341.209383,740.2659854,851.3058833,1073.385679
859.7496047,1100.479494,1341.209383,740.2659854,851.3058833,1073.385679
859.7496047,1100.479494,1341.209383,740.2659854,851.3058833,1073.385679
859.7496047,1100.479494,1341.209383,740.2659854,851.3058833,1073.385679
859.7496047,1100.479494,1341.209383,740.2659854,851.3058833,1073.385679
859.7496047,1100.479494,1341.209383,740.2659854,851.3058833,1073.385679
859.7496047,1100.479494,1341.209383,740.2659854,851.3058833,1073.385679
859.7496047,1100.479494,1341.209383,740.2659854,851.3058833,1073.385679
859.7496047,1100.479494,1341.209383,740.2659854,851.3058833,1073.385679
859.7496047,1100.479494,1341.209383,740.2659854,851.3058833,1073.385679
859.7496047,1100.479494,1341.209383,740.2659854,851.3058833,1073.385679
859.7496047,1100.479494,1341.209383,740.2659854,851.3058833,1073.385679
859.7496047,1100.479494,1341.209383,740.2659854,851.3058833,1073.385679
859.7496047,1100.479494,1341.209383,740.2659854,851.3058833,1073.385679
859.7496047,1100.479494,1341.209383,740.2659854,851.3058833,1073.385679
859.7496047,1100.479494,1341.209383,740.2659854,851.3058833,1073.385679
859.7496047,1100.479494,1341.209383,740.2659854,851.3058833,1073.385679
859.7496047,1100.479494,1341.209383,740.2659854,851.3058833,1073.385679
859.7496047,1100.479494,1341.209383,740.2659854,851.3058833,1073.385679
859.7496047,1100.479494,1341.209383,740.2659854,851.3058833,1073.385679
859.7496047,1100.479494,1341.209383,740.2659854,851.3058833,1073.385679
859.7496047,1100.479494,1341.209383,740.2659854,851.3058833,1073.385679
859.7496047,1100.479494,1341.209383,740.2659854,851.3058833,1073.385679
859.7496047,1100.479494,1341.209383,740.2659854,851.3058833,1073.385679
859.7496047,1100.479494,1341.209383,740.2659854,851.3058833,1073.385679
859.7496047,1100.479494,1341.209383,740.2659854,851.3058833,1073.385679
859.7496047,1100.479494,1341.209383,740.2659854,851.3058833,1073.385679
859.7496047,1100.479494,1341.209383,740.2659854,851.3058833,1073.385679
859.7496047,1100.479494,1341.209383,740.2659854,851.3058833,1073.385679
859.7496047,1100.479494,1341.209383,740.2659854,851.3058833,1073.385679
859.7496047,1100.479494,1341.209383,740.2659854,851.3058833,1073.385679
859.7496047,1100.479494,1341.209383,740.2659854,851.3058833,1073.385679
859.7496047,1100.479494,1341.209383,740.2659854,851.3058833,1073.385679
859.7496047,1100.479494,1341.209383,740.2659854,851.3058833,1073.385679
859.7496047,1100.479494,1341.209383,740.2659854,851.3058833,1073.385679
859.7496047,1100.479494,1341.209383,740.2659854,851.3058833,1073.385679
859.7496047,1100.479494,1341.209383,740.2659854,851.3058833,1073.385679
859.7496047,1100.479494,1341.209383,740.2659854,851.3058833,1073.385679
859.7496047,1100.479494,1341.209383,740.2659854,851.3058833,1073.385679
859.7496047,1100.479494,1341.209383,740.2659854,851.3058833,1073.385679
859.7496047,1100.479494,1341.209383,740.2659854,851.3058833,1073.385679
859.7496047,1100.479494,1341.209383,740.2659854,851.3058833,1073.385679
859.7496047,1100.479494,1341.209383,740.2659854,851.3058833,1073.385679
