testcases,benchmarks,sim_IPC,clock cycle (ps),execution time (us)
static4resimult3cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult2resfpalu1,sjeng,0.5301,145,683.833239012
static4resimult3cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult2resfpalu1,milc,0.5352,145,677.316890882
static4resimult3cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult2resfpalu1,equake,0.5334,145,679.602549681
static2resimult2cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult1resfpalu1,bzip2,0.4690,115,613.006396588
static2resimult2cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult1resfpalu1,hmmer,0.5998,115,479.326442147
static2resimult2cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult1resfpalu1,mcf,0.5602,115,513.209568011
static2resimult2cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult1resfpalu1,sjeng,0.5078,115,566.167782592
static2resimult2cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult1resfpalu1,milc,0.5104,115,563.28369906
static2resimult2cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult1resfpalu1,equake,0.5106,115,563.063063063
static4resimult3cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult1resfpalu2,bzip2,0.4970,145,729.376257545
static4resimult3cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult1resfpalu2,hmmer,0.7072,145,512.584841629
static4resimult3cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult1resfpalu2,mcf,0.5922,145,612.124282337
static4resimult3cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult1resfpalu2,sjeng,0.5301,145,683.833239012
static4resimult3cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult1resfpalu2,milc,0.5352,145,677.316890882
static4resimult3cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult1resfpalu2,equake,0.5335,145,679.475164011
static4resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult2resfpalu3,bzip2,0.4922,145,736.48923202
static4resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult2resfpalu3,hmmer,0.7062,145,513.310676862
static4resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult2resfpalu3,mcf,0.5912,145,613.159675237
static4resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult2resfpalu3,sjeng,0.5280,145,686.553030303
static4resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult2resfpalu3,milc,0.5351,145,677.443468511
static4resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult2resfpalu3,equake,0.5322,145,681.134911687
static4resimult3cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult3resfpalu2,bzip2,0.4970,145,729.376257545
static4resimult3cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult3resfpalu2,hmmer,0.7071,145,512.657332768
static4resimult3cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult3resfpalu2,mcf,0.5922,145,612.124282337
static4resimult3cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult3resfpalu2,sjeng,0.5301,145,683.833239012
static4resimult3cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult3resfpalu2,milc,0.5352,145,677.316890882
static4resimult3cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult3resfpalu2,equake,0.5335,145,679.475164011
static4resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu2,bzip2,0.4922,145,736.48923202
static4resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu2,hmmer,0.7061,145,513.38337346
static4resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu2,mcf,0.5912,145,613.159675237
static4resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu2,sjeng,0.5280,145,686.553030303
static4resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu2,milc,0.5351,145,677.443468511
static4resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu2,equake,0.5322,145,681.134911687
static4resimult3cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu3,bzip2,0.4922,145,736.48923202
static4resimult3cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu3,hmmer,0.7063,145,513.238000849
static4resimult3cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu3,mcf,0.5912,145,613.159675237
static4resimult3cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu3,sjeng,0.5280,145,686.553030303
static4resimult3cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu3,milc,0.5351,145,677.443468511
static4resimult3cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu3,equake,0.5322,145,681.134911687
static2resimult2cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult2resfpalu2,bzip2,0.4690,115,613.006396588
static2resimult2cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult2resfpalu2,hmmer,0.5998,115,479.326442147
static2resimult2cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult2resfpalu2,mcf,0.5602,115,513.209568011
static2resimult2cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult2resfpalu2,sjeng,0.5078,115,566.167782592
static2resimult2cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult2resfpalu2,milc,0.5104,115,563.28369906
static2resimult2cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult2resfpalu2,equake,0.5106,115,563.063063063
static4resimult1cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult3resfpalu3,bzip2,0.4970,145,729.376257545
static4resimult1cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult3resfpalu3,hmmer,0.7072,145,512.584841629
static4resimult1cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult3resfpalu3,mcf,0.5922,145,612.124282337
static4resimult1cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult3resfpalu3,sjeng,0.5301,145,683.833239012
static4resimult1cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult3resfpalu3,milc,0.5352,145,677.316890882
static4resimult1cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult3resfpalu3,equake,0.5335,145,679.475164011
static4resimult1cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu3,bzip2,0.4922,145,736.48923202
static4resimult1cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu3,hmmer,0.7062,145,513.310676862
static4resimult1cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu3,mcf,0.5912,145,613.159675237
static4resimult1cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu3,sjeng,0.5280,145,686.553030303
static4resimult1cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu3,milc,0.5351,145,677.443468511
static4resimult1cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu3,equake,0.5322,145,681.134911687
static2resimult1cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult2resfpalu1,bzip2,0.4690,115,613.006396588
static2resimult1cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult2resfpalu1,hmmer,0.5998,115,479.326442147
static2resimult1cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult2resfpalu1,mcf,0.5602,115,513.209568011
static2resimult1cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult2resfpalu1,sjeng,0.5078,115,566.167782592
static2resimult1cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult2resfpalu1,milc,0.5104,115,563.28369906
static2resimult1cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult2resfpalu1,equake,0.5106,115,563.063063063
static4resimult1cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult2resfpalu3,bzip2,0.4690,145,772.921108742
static4resimult1cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult2resfpalu3,hmmer,0.5998,145,604.368122708
static4resimult1cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult2resfpalu3,mcf,0.5606,145,646.628612201
static4resimult1cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult2resfpalu3,sjeng,0.5078,145,713.863725876
static4resimult1cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult2resfpalu3,milc,0.5104,145,710.227272727
static4resimult1cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult2resfpalu3,equake,0.5111,145,709.254549012
static2resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu3,bzip2,0.4922,115,584.112149533
static2resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu3,hmmer,0.7061,115,407.166123779
static2resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu3,mcf,0.5909,115,486.545946861
static2resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu3,sjeng,0.5280,115,544.507575758
static2resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu3,milc,0.5351,115,537.282750888
static2resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu3,equake,0.5312,115,541.227409639
static4resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult3resfpalu1,bzip2,0.4922,145,736.48923202
static4resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult3resfpalu1,hmmer,0.7063,145,513.238000849
static4resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult3resfpalu1,mcf,0.5912,145,613.159675237
static4resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult3resfpalu1,sjeng,0.5280,145,686.553030303
static4resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult3resfpalu1,milc,0.5351,145,677.443468511
static4resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult3resfpalu1,equake,0.5320,145,681.390977444
static4resimult2cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult2resfpalu2,bzip2,0.4970,145,729.376257545
static4resimult2cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult2resfpalu2,hmmer,0.7071,145,512.657332768
static4resimult2cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult2resfpalu2,mcf,0.5922,145,612.124282337
static4resimult2cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult2resfpalu2,sjeng,0.5301,145,683.833239012
static4resimult2cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult2resfpalu2,milc,0.5352,145,677.316890882
static4resimult2cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult2resfpalu2,equake,0.5335,145,679.475164011
static2resimult1cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu3,bzip2,0.4922,115,584.112149533
static2resimult1cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu3,hmmer,0.7060,115,407.223796034
static2resimult1cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu3,mcf,0.5909,115,486.545946861
static2resimult1cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu3,sjeng,0.5280,115,544.507575758
static2resimult1cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu3,milc,0.5351,115,537.282750888
static2resimult1cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu3,equake,0.5312,115,541.227409639
static2resimult3cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult1resfpalu2,bzip2,0.4690,115,613.006396588
static2resimult3cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult1resfpalu2,hmmer,0.5998,115,479.326442147
static2resimult3cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult1resfpalu2,mcf,0.5602,115,513.209568011
static2resimult3cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult1resfpalu2,sjeng,0.5078,115,566.167782592
static2resimult3cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult1resfpalu2,milc,0.5104,115,563.28369906
static2resimult3cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult1resfpalu2,equake,0.5106,115,563.063063063
static4resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu3,bzip2,0.4922,145,736.48923202
static4resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu3,hmmer,0.7061,145,513.38337346
static4resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu3,mcf,0.5912,145,613.159675237
static4resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu3,sjeng,0.5280,145,686.553030303
static4resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu3,milc,0.5351,145,677.443468511
static4resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu3,equake,0.5322,145,681.134911687
static4resimult1cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult3resfpalu2,bzip2,0.4922,145,736.48923202
static4resimult1cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult3resfpalu2,hmmer,0.7062,145,513.310676862
static4resimult1cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult3resfpalu2,mcf,0.5912,145,613.159675237
static4resimult1cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult3resfpalu2,sjeng,0.5280,145,686.553030303
static4resimult1cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult3resfpalu2,milc,0.5351,145,677.443468511
static4resimult1cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult3resfpalu2,equake,0.5322,145,681.134911687
static4resimult3cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult1resfpalu3,bzip2,0.4690,145,772.921108742
static4resimult3cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult1resfpalu3,hmmer,0.5998,145,604.368122708
static4resimult3cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult1resfpalu3,mcf,0.5606,145,646.628612201
static4resimult3cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult1resfpalu3,sjeng,0.5078,145,713.863725876
static4resimult3cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult1resfpalu3,milc,0.5104,145,710.227272727
static4resimult3cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult1resfpalu3,equake,0.5111,145,709.254549012
static4resimult1cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult3resfpalu1,bzip2,0.4970,145,729.376257545
static4resimult1cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult3resfpalu1,hmmer,0.7071,145,512.657332768
static4resimult1cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult3resfpalu1,mcf,0.5922,145,612.124282337
static4resimult1cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult3resfpalu1,sjeng,0.5301,145,683.833239012
static4resimult1cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult3resfpalu1,milc,0.5352,145,677.316890882
static4resimult1cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult3resfpalu1,equake,0.5334,145,679.602549681
static4resimult2cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult3resfpalu2,bzip2,0.4690,145,772.921108742
static4resimult2cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult3resfpalu2,hmmer,0.5998,145,604.368122708
static4resimult2cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult3resfpalu2,mcf,0.5606,145,646.628612201
static4resimult2cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult3resfpalu2,sjeng,0.5078,145,713.863725876
static4resimult2cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult3resfpalu2,milc,0.5104,145,710.227272727
static4resimult2cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult3resfpalu2,equake,0.5111,145,709.254549012
static2resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult2resfpalu1,bzip2,0.4922,115,584.112149533
static2resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult2resfpalu1,hmmer,0.7061,115,407.166123779
static2resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult2resfpalu1,mcf,0.5909,115,486.545946861
static2resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult2resfpalu1,sjeng,0.5280,115,544.507575758
static2resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult2resfpalu1,milc,0.5351,115,537.282750888
static2resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult2resfpalu1,equake,0.5312,115,541.227409639
static4resimult1cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult1resfpalu1,bzip2,0.4690,145,772.921108742
static4resimult1cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult1resfpalu1,hmmer,0.5998,145,604.368122708
static4resimult1cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult1resfpalu1,mcf,0.5606,145,646.628612201
static4resimult1cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult1resfpalu1,sjeng,0.5078,145,713.863725876
static4resimult1cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult1resfpalu1,milc,0.5104,145,710.227272727
static4resimult1cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult1resfpalu1,equake,0.5110,145,709.39334638
static4resimult1cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult2resfpalu2,bzip2,0.4690,145,772.921108742
static4resimult1cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult2resfpalu2,hmmer,0.5998,145,604.368122708
static4resimult1cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult2resfpalu2,mcf,0.5606,145,646.628612201
static4resimult1cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult2resfpalu2,sjeng,0.5078,145,713.863725876
static4resimult1cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult2resfpalu2,milc,0.5104,145,710.227272727
static4resimult1cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult2resfpalu2,equake,0.5111,145,709.254549012
static4resimult1cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu2,bzip2,0.4922,145,736.48923202
static4resimult1cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu2,hmmer,0.7061,145,513.38337346
static4resimult1cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu2,mcf,0.5912,145,613.159675237
static4resimult1cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu2,sjeng,0.5280,145,686.553030303
static4resimult1cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu2,milc,0.5351,145,677.443468511
static4resimult1cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu2,equake,0.5322,145,681.134911687
static4resimult2cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult3resfpalu1,bzip2,0.4690,145,772.921108742
static4resimult2cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult3resfpalu1,hmmer,0.5997,145,604.468901117
static4resimult2cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult3resfpalu1,mcf,0.5606,145,646.628612201
static4resimult2cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult3resfpalu1,sjeng,0.5078,145,713.863725876
static4resimult2cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult3resfpalu1,milc,0.5104,145,710.227272727
static4resimult2cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult3resfpalu1,equake,0.5110,145,709.39334638
static4resimult3cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult1resfpalu2,bzip2,0.4690,145,772.921108742
static4resimult3cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult1resfpalu2,hmmer,0.5998,145,604.368122708
static4resimult3cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult1resfpalu2,mcf,0.5606,145,646.628612201
static4resimult3cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult1resfpalu2,sjeng,0.5078,145,713.863725876
static4resimult3cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult1resfpalu2,milc,0.5104,145,710.227272727
static4resimult3cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult1resfpalu2,equake,0.5111,145,709.254549012
static2resimult1cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu2,bzip2,0.4922,115,584.112149533
static2resimult1cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu2,hmmer,0.7061,115,407.166123779
static2resimult1cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu2,mcf,0.5909,115,486.545946861
static2resimult1cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu2,sjeng,0.5280,115,544.507575758
